ID,adj.P.Val,P.Value,t,B,logFC,miRNA_ID,SPOT_ID
hsa-miR-6822-3p,0.745,0.371065,0.965481,-5.35,0.02039594,hsa-miR-6822-3p,
hsa-miR-7162-5p,0.745,0.371328,-0.964913,-5.35,-0.01917841,hsa-miR-7162-5p,
hsa-miR-573,0.745,0.37146,-0.964627,-5.35,-0.03037787,hsa-miR-573,
hsa-miR-130a-5p,0.745,0.371495,0.964552,-5.351,0.04261338,hsa-miR-130a-5p,
hsa-miR-4659a-5p,0.745,0.371549,-0.964436,-5.351,-0.03513937,hsa-miR-4659a-5p,
hsa-miR-5047,0.745,0.371626,-0.964268,-5.351,-0.01821103,hsa-miR-5047,
hsa-miR-506-3p,0.745,0.371689,0.964134,-5.351,0.02336688,hsa-miR-506-3p,
hsa-miR-604,0.745,0.371693,0.964123,-5.351,0.02511747,hsa-miR-604,
hsa-miR-4305,0.745,0.371709,0.964089,-5.351,0.02864991,hsa-miR-4305,
hsa-miR-6763-5p,0.745,0.37219,-0.963052,-5.352,-0.3216024,hsa-miR-6763-5p,
hsa-miR-4742-3p,0.745,0.372507,-0.962368,-5.352,-0.03076308,hsa-miR-4742-3p,
hsa-miR-769-5p,0.745,0.372514,0.962352,-5.352,0.05494187,hsa-miR-769-5p,
hsa-miR-5571-3p,0.745,0.372764,-0.961814,-5.353,-0.02391213,hsa-miR-5571-3p,
hsa-miR-6744-5p,0.745,0.372918,-0.961481,-5.353,-0.02553435,hsa-miR-6744-5p,
hsa-miR-4419b,0.747,0.374476,-0.95813,-5.356,-0.07890148,hsa-miR-4419b,
hsa-miR-3653-5p,0.747,0.374643,0.957772,-5.356,0.02454689,hsa-miR-3653-5p,
hsa-miR-6763-3p,0.747,0.374704,0.957641,-5.357,0.02625572,hsa-miR-6763-3p,
hsa-miR-615-3p,0.747,0.375348,-0.956259,-5.358,-0.03636675,hsa-miR-615-3p,
hsa-miR-8054,0.748,0.376122,-0.9546,-5.359,-0.06332125,hsa-miR-8054,
hsa-miR-154-5p,0.748,0.376307,0.954205,-5.36,0.46279555,hsa-miR-154-5p,
hsa-miR-4476,0.748,0.376948,-0.952835,-5.361,-0.09604903,hsa-miR-4476,
hsa-miR-3136-5p,0.748,0.377266,0.952154,-5.361,0.08674904,hsa-miR-3136-5p,
hsa-miR-3655,0.748,0.377571,0.951504,-5.362,0.02998095,hsa-miR-3655,
hsa-miR-138-2-3p,0.748,0.377574,0.951497,-5.362,0.07245284,hsa-miR-138-2-3p,
hsa-miR-651-5p,0.748,0.377692,-0.951246,-5.362,-0.01871399,hsa-miR-651-5p,
hsa-miR-548m,0.749,0.378949,-0.948567,-5.364,-0.02093212,hsa-miR-548m,
hsa-miR-4783-5p,0.749,0.379422,-0.94756,-5.365,-0.02730405,hsa-miR-4783-5p,
hsa-miR-6795-5p,0.749,0.379471,0.947457,-5.365,0.03179502,hsa-miR-6795-5p,
hsa-miR-545-5p,0.749,0.379728,-0.94691,-5.366,-0.01700655,hsa-miR-545-5p,
hsa-miR-891a-3p,0.749,0.37979,0.94678,-5.366,0.02060943,hsa-miR-891a-3p,
hsa-miR-1304-5p,0.749,0.380291,-0.945716,-5.367,-0.0274332,hsa-miR-1304-5p,
hsa-miR-4749-3p,0.75,0.380852,-0.944526,-5.368,-0.04079413,hsa-miR-4749-3p,
hsa-miR-487a-3p,0.75,0.381874,0.942362,-5.37,0.41382882,hsa-miR-487a-3p,
hsa-miR-361-5p,0.75,0.381943,0.942215,-5.37,0.24400601,hsa-miR-361-5p,
hsa-miR-611,0.75,0.382135,-0.941809,-5.37,-0.0177039,hsa-miR-611,
hsa-miR-4697-3p,0.75,0.382431,-0.941184,-5.371,-0.02303344,hsa-miR-4697-3p,
hsa-miR-8066,0.75,0.382462,0.941118,-5.371,0.02526805,hsa-miR-8066,
hsa-miR-652-3p,0.751,0.382957,0.940074,-5.372,0.15927562,hsa-miR-652-3p,
hsa-miR-3909,0.752,0.383881,-0.938125,-5.373,-0.02261517,hsa-miR-3909,
hsa-miR-6749-3p,0.753,0.384515,-0.936789,-5.375,-0.02662032,hsa-miR-6749-3p,
hsa-miR-761,0.753,0.384811,0.936167,-5.375,0.02242119,hsa-miR-761,
hsa-miR-6809-3p,0.753,0.385372,0.934987,-5.376,0.02362797,hsa-miR-6809-3p,
hsa-miR-4652-5p,0.753,0.385692,0.934317,-5.377,0.03589089,hsa-miR-4652-5p,
hsa-miR-379-5p,0.753,0.385885,0.933912,-5.377,0.42199012,hsa-miR-379-5p,
hsa-miR-638,0.753,0.385931,-0.933815,-5.377,-0.39245301,hsa-miR-638,
hsa-miR-5688,0.753,0.386783,0.932027,-5.379,0.03333141,hsa-miR-5688,
hsa-miR-8059,0.753,0.386803,0.931986,-5.379,0.03851213,hsa-miR-8059,
hsa-miR-3190-3p,0.754,0.387568,-0.930385,-5.38,-0.02871168,hsa-miR-3190-3p,
hsa-miR-122-3p,0.756,0.389163,0.927056,-5.383,0.02508865,hsa-miR-122-3p,
hsa-miR-4735-3p,0.756,0.389327,-0.926713,-5.383,-0.02462935,hsa-miR-4735-3p,
hsa-miR-7155-3p,0.756,0.38933,0.926708,-5.383,0.01662317,hsa-miR-7155-3p,
hsa-miR-585-3p,0.756,0.389608,-0.926128,-5.384,-0.04088595,hsa-miR-585-3p,
hsa-miR-3174,0.756,0.390256,-0.92478,-5.385,-0.02382201,hsa-miR-3174,
hsa-miR-1226-5p,0.756,0.390699,-0.923857,-5.386,-0.07664347,hsa-miR-1226-5p,
hsa-miR-4502,0.756,0.391452,-0.922293,-5.387,-0.04043958,hsa-miR-4502,
hsa-miR-676-3p,0.756,0.392067,0.921018,-5.388,0.02274283,hsa-miR-676-3p,
hsa-miR-103a-2-5p,0.756,0.392272,0.920593,-5.388,0.02682369,hsa-miR-103a-2-5p,
hsa-miR-6720-3p,0.756,0.392339,0.920455,-5.389,0.0174059,hsa-miR-6720-3p,
hsa-miR-6499-3p,0.756,0.392581,-0.919953,-5.389,-0.01910089,hsa-miR-6499-3p,
hsa-miR-299-5p,0.756,0.392755,0.919592,-5.389,0.46179864,hsa-miR-299-5p,
hsa-miR-4526,0.756,0.392808,0.919483,-5.389,0.0309538,hsa-miR-4526,
hsa-miR-1267,0.756,0.392973,0.919142,-5.39,0.01962078,hsa-miR-1267,
hsa-miR-6716-3p,0.756,0.393541,-0.917967,-5.391,-0.02474919,hsa-miR-6716-3p,
NC2_00122731,0.756,0.393626,-0.917791,-5.391,-0.01646466,,NC2_00122731
hsa-miR-657,0.756,0.393752,0.917531,-5.391,0.02118694,hsa-miR-657,
hsa-miR-4689,0.756,0.393902,-0.917221,-5.391,-0.23504588,hsa-miR-4689,
hsa-miR-625-3p,0.756,0.39425,-0.916502,-5.392,-0.03432679,hsa-miR-625-3p,
hsa-miR-4654,0.756,0.394334,-0.916328,-5.392,-0.03656005,hsa-miR-4654,
hsa-miR-3656,0.757,0.396009,-0.912879,-5.395,-0.36368631,hsa-miR-3656,
hsa-miR-548ah-5p,0.757,0.396087,0.912717,-5.395,0.02772471,hsa-miR-548ah-5p,
hsa-miR-301a-5p,0.757,0.396328,-0.912223,-5.395,-0.02122312,hsa-miR-301a-5p,
hsa-miR-141-5p,0.757,0.396464,0.911943,-5.396,0.12169471,hsa-miR-141-5p,
hsa-miR-6808-3p,0.757,0.396542,-0.911782,-5.396,-0.02051193,hsa-miR-6808-3p,
hsa-miR-5089-5p,0.758,0.397234,-0.91036,-5.397,-0.01923423,hsa-miR-5089-5p,
hsa-miR-369-5p,0.759,0.397873,0.909051,-5.398,0.27777828,hsa-miR-369-5p,
hsa-miR-3156-5p,0.759,0.399078,-0.906583,-5.4,-0.3285745,hsa-miR-3156-5p,
hsa-miR-617,0.759,0.399304,-0.906121,-5.401,-0.03913651,hsa-miR-617,
hsa-miR-3670,0.759,0.399606,0.905503,-5.401,0.02343719,hsa-miR-3670,
hsa-miR-3166,0.759,0.399728,0.905255,-5.401,0.02322281,hsa-miR-3166,
hsa-miR-5093,0.759,0.399889,-0.904925,-5.402,-0.02668449,hsa-miR-5093,
hsa-miR-328-3p,0.759,0.400023,-0.904652,-5.402,-0.02791264,hsa-miR-328-3p,
hsa-miR-6748-3p,0.759,0.400474,0.903733,-5.403,0.01784131,hsa-miR-6748-3p,
hsa-miR-512-3p,0.759,0.400647,0.903379,-5.403,0.4062199,hsa-miR-512-3p,
hsa-miR-374a-3p,0.759,0.400689,0.903293,-5.403,0.03323818,hsa-miR-374a-3p,
hsa-miR-32-3p,0.759,0.401005,-0.90265,-5.403,-0.02822794,hsa-miR-32-3p,
hsa-miR-5689,0.76,0.402056,0.90051,-5.405,0.02382809,hsa-miR-5689,
hsa-miR-4299,0.761,0.402796,-0.899005,-5.407,-0.30912887,hsa-miR-4299,
hsa-miR-6773-3p,0.761,0.402898,-0.898798,-5.407,-0.03441692,hsa-miR-6773-3p,
hsa-miR-302f,0.761,0.403427,-0.897725,-5.408,-0.01992346,hsa-miR-302f,
hsa-miR-4309,0.761,0.404064,-0.896435,-5.409,-0.03312501,hsa-miR-4309,
hsa-miR-2113,0.761,0.404095,-0.89637,-5.409,-0.02470078,hsa-miR-2113,
hsa-miR-1247-5p,0.763,0.405439,0.893652,-5.411,0.12279551,hsa-miR-1247-5p,
hsa-miR-1295b-5p,0.765,0.406425,0.891661,-5.413,0.02521625,hsa-miR-1295b-5p,
hsa-miR-3140-3p,0.765,0.407118,0.890264,-5.414,0.02214661,hsa-miR-3140-3p,
hsa-miR-4676-5p,0.765,0.407177,-0.890145,-5.414,-0.03790598,hsa-miR-4676-5p,
hsa-miR-6722-5p,0.765,0.407276,0.889946,-5.414,0.01620741,hsa-miR-6722-5p,
hsa-miR-5579-3p,0.766,0.408609,-0.887265,-5.416,-0.01663157,hsa-miR-5579-3p,
hsa-miR-33b-5p,0.766,0.409427,0.885622,-5.418,0.0174586,hsa-miR-33b-5p,
hsa-miR-4746-5p,0.766,0.40963,-0.885215,-5.418,-0.03378743,hsa-miR-4746-5p,
hsa-miR-29c-5p,0.766,0.409671,0.885134,-5.418,0.10508486,hsa-miR-29c-5p,
hsa-miR-5706,0.766,0.409724,0.885027,-5.418,0.01867477,hsa-miR-5706,
hsa-miR-4727-5p,0.768,0.411215,-0.882041,-5.421,-0.02029512,hsa-miR-4727-5p,
hsa-miR-1286,0.768,0.411392,0.881688,-5.421,0.02476149,hsa-miR-1286,
hsa-miR-195-3p,0.768,0.411643,0.881186,-5.421,0.01801104,hsa-miR-195-3p,
hsa-miR-523-3p,0.769,0.412375,0.879725,-5.422,0.44492475,hsa-miR-523-3p,
hsa-miR-6818-3p,0.769,0.412846,-0.878786,-5.423,-0.01870191,hsa-miR-6818-3p,
hsa-miR-1343-5p,0.769,0.412951,-0.878577,-5.423,-0.09360221,hsa-miR-1343-5p,
hsa-miR-365a-3p,0.769,0.413341,-0.8778,-5.424,-0.48235829,hsa-miR-365a-3p,
hsa-miR-1285-3p,0.769,0.413508,0.877466,-5.424,0.02531415,hsa-miR-1285-3p,
hsa-miR-431-5p,0.769,0.414056,0.876376,-5.425,0.45527198,hsa-miR-431-5p,
hsa-miR-6786-3p,0.769,0.41615,-0.872218,-5.429,-0.0252709,hsa-miR-6786-3p,
hsa-miR-3620-3p,0.769,0.416406,0.871712,-5.429,0.0160342,hsa-miR-3620-3p,
hsa-miR-4520-3p,0.769,0.416416,0.871691,-5.429,0.03434988,hsa-miR-4520-3p,
hsa-miR-423-3p,0.769,0.417519,0.869508,-5.431,0.05022223,hsa-miR-423-3p,
hsa-miR-889-5p,0.769,0.417882,-0.868791,-5.431,-0.01407278,hsa-miR-889-5p,
hsa-miR-203a-3p,0.769,0.418029,0.8685,-5.432,0.22398489,hsa-miR-203a-3p,
hsa-miR-3153,0.769,0.418091,0.868379,-5.432,0.02770469,hsa-miR-3153,
hsa-miR-31-3p,0.769,0.418155,0.868253,-5.432,0.06391896,hsa-miR-31-3p,
hsa-miR-3154,0.769,0.418281,-0.868003,-5.432,-0.04330429,hsa-miR-3154,
hsa-miR-106b-3p,0.769,0.418782,0.867014,-5.433,0.01992061,hsa-miR-106b-3p,
hsa-miR-7112-5p,0.769,0.418893,-0.866797,-5.433,-0.0224849,hsa-miR-7112-5p,
hsa-miR-3130-5p,0.769,0.419187,-0.866217,-5.433,-0.02317379,hsa-miR-3130-5p,
hsa-miR-512-5p,0.769,0.419525,0.865549,-5.434,0.59913641,hsa-miR-512-5p,
hsa-miR-3663-5p,0.769,0.419844,-0.864921,-5.434,-0.0677444,hsa-miR-3663-5p,
hsa-miR-4527,0.769,0.420075,-0.864467,-5.435,-0.02234718,hsa-miR-4527,
hsa-miR-6811-5p,0.769,0.420321,-0.863984,-5.435,-0.01437506,hsa-miR-6811-5p,
hsa-miR-513a-5p,0.769,0.420513,-0.863606,-5.436,-0.13000922,hsa-miR-513a-5p,
hsa-miR-6727-5p,0.769,0.420571,-0.863492,-5.436,-0.40319704,hsa-miR-6727-5p,
hsa-miR-6759-3p,0.769,0.420633,-0.863369,-5.436,-0.03914134,hsa-miR-6759-3p,
hsa-miR-3144-3p,0.769,0.421921,0.860841,-5.438,0.01589419,hsa-miR-3144-3p,
dmr_285,0.769,0.422164,-0.860364,-5.438,-0.12208471,,dmr_285
hsa-miR-1915-5p,0.769,0.422286,-0.860124,-5.438,-0.03520708,hsa-miR-1915-5p,
hsa-miR-28-5p,0.769,0.422334,0.86003,-5.438,0.14597919,hsa-miR-28-5p,
hsa-miR-3126-3p,0.769,0.422786,-0.859144,-5.439,-0.02328104,hsa-miR-3126-3p,
hsa-miR-338-5p,0.769,0.422788,0.859141,-5.439,0.03309471,hsa-miR-338-5p,
hsa-miR-654-3p,0.769,0.422999,0.858727,-5.439,0.36464955,hsa-miR-654-3p,
hsa-miR-4460,0.769,0.423005,0.858716,-5.439,0.03221298,hsa-miR-4460,
hsa-miR-8070,0.769,0.423335,0.858069,-5.44,0.02179903,hsa-miR-8070,
hsa-miR-499a-3p,0.769,0.423403,0.857937,-5.44,0.02419889,hsa-miR-499a-3p,
hsa-miR-5590-5p,0.769,0.423665,0.857424,-5.441,0.0421847,hsa-miR-5590-5p,
hsa-miR-222-3p,0.769,0.423718,0.857321,-5.441,0.25887776,hsa-miR-222-3p,
hsa-miR-7111-5p,0.769,0.424195,-0.856389,-5.441,-0.03591755,hsa-miR-7111-5p,
hsa-miR-548ak,0.769,0.424221,0.856337,-5.441,0.03187692,hsa-miR-548ak,
hsa-miR-4472,0.769,0.424395,-0.855999,-5.442,-0.10715954,hsa-miR-4472,
hsa-miR-4508,0.769,0.424518,-0.855757,-5.442,-0.03420303,hsa-miR-4508,
hsa-miR-4268,0.771,0.425813,0.853232,-5.444,0.02200252,hsa-miR-4268,
hsa-miR-23a-3p,0.771,0.425859,0.853143,-5.444,0.29213233,hsa-miR-23a-3p,
hsa-miR-607,0.771,0.426304,-0.852276,-5.445,-0.02942428,hsa-miR-607,
hsa-miR-5002-3p,0.772,0.427545,-0.849862,-5.447,-0.02945222,hsa-miR-5002-3p,
hsa-miR-4536-5p,0.772,0.428031,0.84892,-5.447,0.02697535,hsa-miR-4536-5p,
hsa-miR-3178,0.772,0.42832,0.848357,-5.448,0.01693044,hsa-miR-3178,
hsa-miR-4638-5p,0.772,0.428369,-0.848262,-5.448,-0.03668467,hsa-miR-4638-5p,
hsa-miR-3152-5p,0.772,0.428523,0.847964,-5.448,0.02567863,hsa-miR-3152-5p,
hsa-miR-4725-5p,0.773,0.429394,0.846277,-5.449,0.03843728,hsa-miR-4725-5p,
hsa-miR-4672,0.774,0.429899,0.8453,-5.45,0.10888864,hsa-miR-4672,
hsa-miR-223-3p,0.774,0.430442,-0.844249,-5.451,-0.85005783,hsa-miR-223-3p,
hsa-miR-4750-5p,0.774,0.430481,-0.844174,-5.451,-0.04825087,hsa-miR-4750-5p,
hsa-miR-1273d,0.774,0.431224,-0.842739,-5.452,-0.06693077,hsa-miR-1273d,
hsa-miR-539-5p,0.774,0.431736,0.841751,-5.453,0.25629224,hsa-miR-539-5p,
hsa-miR-31-5p,0.774,0.431768,0.841688,-5.453,0.17588613,hsa-miR-31-5p,
hsa-miR-2909,0.774,0.432389,-0.840493,-5.454,-0.02309325,hsa-miR-2909,
hsa-miR-577,0.774,0.432759,-0.839779,-5.455,-0.02144156,hsa-miR-577,
hsa-miR-6816-5p,0.774,0.433438,-0.838473,-5.456,-0.04368822,hsa-miR-6816-5p,
hsa-miR-3170,0.774,0.433594,0.838173,-5.456,0.02288461,hsa-miR-3170,
hsa-miR-4258,0.774,0.433792,0.837793,-5.456,0.02747854,hsa-miR-4258,
hsa-miR-130a-3p,0.774,0.434433,0.83656,-5.457,0.24742747,hsa-miR-130a-3p,
hsa-miR-504-3p,0.774,0.434689,0.83607,-5.458,0.06963734,hsa-miR-504-3p,
hsa-miR-4802-5p,0.774,0.435262,-0.834971,-5.458,-0.01945503,hsa-miR-4802-5p,
hsa-miR-7151-3p,0.774,0.435724,-0.834085,-5.459,-0.02274251,hsa-miR-7151-3p,
hsa-miR-7843-3p,0.774,0.436468,0.832661,-5.46,0.02019911,hsa-miR-7843-3p,
hsa-miR-4705,0.774,0.436671,0.832272,-5.461,0.01622611,hsa-miR-4705,
hsa-miR-548av-5p,0.774,0.436728,0.832163,-5.461,0.0250174,hsa-miR-548av-5p,
hsa-miR-619-5p,0.774,0.436879,-0.831874,-5.461,-0.06157588,hsa-miR-619-5p,
hsa-miR-6747-3p,0.774,0.436898,-0.831838,-5.461,-0.02475269,hsa-miR-6747-3p,
hsa-miR-5588-3p,0.774,0.437043,0.83156,-5.461,0.01877234,hsa-miR-5588-3p,
hsa-miR-4448,0.774,0.437391,-0.830897,-5.462,-0.0436063,hsa-miR-4448,
hsa-miR-944,0.774,0.437412,-0.830855,-5.462,-0.01838861,hsa-miR-944,
hsa-miR-99a-5p,0.774,0.437492,0.830702,-5.462,0.37734605,hsa-miR-99a-5p,
hsa-miR-302d-3p,0.774,0.437513,0.830662,-5.462,0.02442784,hsa-miR-302d-3p,
hsa-miR-4474-5p,0.775,0.438083,0.829574,-5.463,0.02466235,hsa-miR-4474-5p,
hsa-miR-937-3p,0.775,0.438511,0.828758,-5.463,0.01525217,hsa-miR-937-3p,
hsa-miR-3692-3p,0.775,0.438944,0.827933,-5.464,0.01238263,hsa-miR-3692-3p,
hsa-miR-6876-5p,0.776,0.43964,0.826608,-5.465,0.03638067,hsa-miR-6876-5p,
hsa-miR-380-5p,0.777,0.440415,0.825132,-5.466,0.03098601,hsa-miR-380-5p,
hsa-miR-5096,0.778,0.441365,-0.823329,-5.468,-0.04076651,hsa-miR-5096,
hsa-miR-6788-5p,0.781,0.443555,-0.819179,-5.471,-0.05008941,hsa-miR-6788-5p,
hsa-miR-1197,0.781,0.443623,-0.81905,-5.471,-0.01745446,hsa-miR-1197,
hsa-miR-4720-3p,0.782,0.444508,0.817379,-5.472,0.02233524,hsa-miR-4720-3p,
hsa-miR-1306-5p,0.782,0.444767,0.81689,-5.472,0.02807418,hsa-miR-1306-5p,
hsa-miR-105-3p,0.782,0.4451,0.81626,-5.473,0.02735786,hsa-miR-105-3p,
hsa-miR-889-3p,0.782,0.4455,0.815507,-5.474,0.11845288,hsa-miR-889-3p,
hsa-miR-3196,0.782,0.445709,-0.815113,-5.474,-0.36654254,hsa-miR-3196,
hsa-miR-4662b,0.783,0.446868,0.81293,-5.476,0.02645614,hsa-miR-4662b,
hsa-miR-4534,0.784,0.4477,-0.811367,-5.477,-0.38586227,hsa-miR-4534,
hsa-miR-23b-5p,0.784,0.44789,0.81101,-5.477,0.03412963,hsa-miR-23b-5p,
hsa-miR-381-5p,0.786,0.449824,0.807383,-5.48,0.06225785,hsa-miR-381-5p,
hsa-miR-4514,0.786,0.449853,-0.807328,-5.48,-0.03398526,hsa-miR-4514,
hsa-miR-3682-5p,0.786,0.449905,0.807231,-5.48,0.02276775,hsa-miR-3682-5p,
hsa-miR-1185-5p,0.786,0.450135,0.8068,-5.48,0.10151861,hsa-miR-1185-5p,
hsa-miR-133a-3p,0.787,0.450868,0.805429,-5.481,0.07067796,hsa-miR-133a-3p,
hsa-miR-3683,0.787,0.451298,0.804626,-5.482,0.02031432,hsa-miR-3683,
hsa-miR-3677-5p,0.787,0.451759,0.803765,-5.483,0.03603985,hsa-miR-3677-5p,
hsa-miR-3923,0.788,0.45299,0.80147,-5.484,0.13385097,hsa-miR-3923,
hsa-miR-4728-5p,0.788,0.45309,-0.801284,-5.484,-0.06894103,hsa-miR-4728-5p,
hsa-miR-6782-5p,0.788,0.453487,-0.800544,-5.485,-0.0295841,hsa-miR-6782-5p,
hsa-miR-574-3p,0.788,0.453519,-0.800485,-5.485,-0.14588694,hsa-miR-574-3p,
hsa-miR-4517,0.788,0.453832,0.799902,-5.486,0.02971537,hsa-miR-4517,
hsa-miR-128-2-5p,0.789,0.454926,0.797868,-5.487,0.02685489,hsa-miR-128-2-5p,
hsa-miR-106a-3p,0.789,0.455917,-0.796029,-5.488,-0.02876263,hsa-miR-106a-3p,
hsa-miR-4634,0.789,0.456133,-0.795628,-5.489,-0.55061079,hsa-miR-4634,
hsa-miR-2681-3p,0.789,0.456375,0.79518,-5.489,0.01900959,hsa-miR-2681-3p,
hsa-miR-593-3p,0.789,0.456404,-0.795127,-5.489,-0.03073724,hsa-miR-593-3p,
hsa-miR-4295,0.789,0.457108,0.793822,-5.49,0.01705622,hsa-miR-4295,
hsa-miR-29a-5p,0.789,0.457172,0.793704,-5.49,0.03359842,hsa-miR-29a-5p,
hsa-miR-6729-5p,0.789,0.457498,-0.793101,-5.491,-0.04576168,hsa-miR-6729-5p,
hsa-miR-6760-3p,0.789,0.457847,0.792455,-5.491,0.02746544,hsa-miR-6760-3p,
hsa-miR-34c-3p,0.789,0.458046,-0.792087,-5.491,-0.01554927,hsa-miR-34c-3p,
hsa-miR-522-3p,0.789,0.458081,0.792023,-5.492,0.30675167,hsa-miR-522-3p,
hsa-miR-6888-3p,0.789,0.458637,0.790997,-5.492,0.02322396,hsa-miR-6888-3p,
hsa-miR-6791-5p,0.789,0.458922,-0.79047,-5.493,-0.18824579,hsa-miR-6791-5p,
hsa-miR-5580-5p,0.789,0.459061,0.790214,-5.493,0.01722781,hsa-miR-5580-5p,
hsa-miR-3929,0.789,0.459269,0.78983,-5.493,0.01893509,hsa-miR-3929,
hsa-miR-3913-5p,0.789,0.459438,0.789519,-5.493,0.01784665,hsa-miR-3913-5p,
hsa-miR-1273h-5p,0.79,0.460533,-0.7875,-5.495,-0.05246397,hsa-miR-1273h-5p,
hsa-miR-7853-5p,0.79,0.460558,0.787454,-5.495,0.0243582,hsa-miR-7853-5p,
hsa-miR-4652-3p,0.791,0.461583,0.785567,-5.496,0.02145269,hsa-miR-4652-3p,
hsa-miR-6882-3p,0.792,0.46231,-0.784232,-5.497,-0.02711817,hsa-miR-6882-3p,
hsa-miR-885-5p,0.792,0.462604,-0.783694,-5.498,-0.01478893,hsa-miR-885-5p,
hsa-miR-5692a,0.793,0.464081,-0.780984,-5.5,-0.05822747,hsa-miR-5692a,
hsa-miR-6823-5p,0.793,0.46432,-0.780548,-5.5,-0.03961662,hsa-miR-6823-5p,
hsa-miR-186-5p,0.793,0.464677,0.779894,-5.501,0.09470922,hsa-miR-186-5p,
hsa-miR-363-5p,0.793,0.464726,0.779804,-5.501,0.02558494,hsa-miR-363-5p,
hsa-miR-206,0.793,0.465022,0.779264,-5.501,0.01758015,hsa-miR-206,
hsa-miR-3151-3p,0.793,0.46511,0.779101,-5.501,0.03379236,hsa-miR-3151-3p,
hsa-miR-323b-5p,0.793,0.465472,0.77844,-5.502,0.02117558,hsa-miR-323b-5p,
hsa-miR-770-5p,0.793,0.465634,0.778145,-5.502,0.02395083,hsa-miR-770-5p,
hsa-miR-4737,0.794,0.466436,-0.77668,-5.503,-0.03185568,hsa-miR-4737,
hsa-miR-382-5p,0.795,0.468139,0.773576,-5.505,0.30784744,hsa-miR-382-5p,
hsa-miR-221-3p,0.795,0.468204,0.773458,-5.505,0.38353042,hsa-miR-221-3p,
hsa-miR-3915,0.795,0.468256,-0.773363,-5.505,-0.02265354,hsa-miR-3915,
hsa-miR-3191-3p,0.795,0.468539,0.772849,-5.506,0.01797751,hsa-miR-3191-3p,
hsa-miR-1287-5p,0.795,0.468628,0.772686,-5.506,0.14926959,hsa-miR-1287-5p,
hsa-miR-4666a-5p,0.795,0.468874,-0.772239,-5.506,-0.01190062,hsa-miR-4666a-5p,
hsa-miR-6739-5p,0.796,0.469583,0.770951,-5.507,0.1249192,hsa-miR-6739-5p,
hsa-miR-6783-5p,0.798,0.471533,0.767414,-5.51,0.03205403,hsa-miR-6783-5p,
hsa-miR-5681b,0.8,0.472861,0.765012,-5.512,0.01368186,hsa-miR-5681b,
hsa-miR-4658,0.8,0.473578,0.763717,-5.513,0.02033866,hsa-miR-4658,
hsa-miR-4423-5p,0.8,0.473646,-0.763593,-5.513,-0.02246738,hsa-miR-4423-5p,
hsa-miR-6849-5p,0.801,0.474451,-0.762141,-5.514,-0.08664041,hsa-miR-6849-5p,
hsa-miR-329-3p,0.804,0.477289,0.757033,-5.517,0.19047958,hsa-miR-329-3p,
hsa-miR-520a-5p,0.804,0.477612,0.756453,-5.518,0.49865968,hsa-miR-520a-5p,
hsa-miR-6754-5p,0.804,0.477637,-0.756409,-5.518,-0.03200764,hsa-miR-6754-5p,
hsa-miR-504-5p,0.804,0.478124,0.755535,-5.519,0.0232768,hsa-miR-504-5p,
hsa-miR-3678-5p,0.804,0.478215,0.755372,-5.519,0.02251839,hsa-miR-3678-5p,
hsa-miR-4655-3p,0.804,0.478569,-0.754737,-5.519,-0.12779192,hsa-miR-4655-3p,
hsa-miR-5579-5p,0.804,0.478711,-0.754482,-5.519,-0.02628682,hsa-miR-5579-5p,
hsa-miR-4784,0.804,0.479076,-0.753828,-5.52,-0.03255867,hsa-miR-4784,
hsa-miR-424-3p,0.804,0.479099,0.753787,-5.52,0.2197229,hsa-miR-424-3p,
hsa-miR-4455,0.805,0.479742,-0.752635,-5.521,-0.24455252,hsa-miR-4455,
hsa-miR-1908-3p,0.805,0.480393,0.751471,-5.521,0.01678013,hsa-miR-1908-3p,
hsa-miR-1287-3p,0.805,0.481051,-0.750296,-5.522,-0.02283424,hsa-miR-1287-3p,
hsa-miR-1268b,0.805,0.48112,-0.750173,-5.522,-0.30146639,hsa-miR-1268b,
hsa-miR-1322,0.805,0.48121,-0.750012,-5.523,-0.02107735,hsa-miR-1322,
hsa-miR-574-5p,0.805,0.481419,-0.749638,-5.523,-0.3526145,hsa-miR-574-5p,
hsa-miR-2682-5p,0.805,0.482292,0.748081,-5.524,0.0285361,hsa-miR-2682-5p,
hsa-miR-548t-5p,0.805,0.482699,0.747356,-5.524,0.03334341,hsa-miR-548t-5p,
hsa-miR-367-3p,0.805,0.482958,0.746893,-5.525,0.02189121,hsa-miR-367-3p,
hsa-miR-29b-3p,0.805,0.48305,0.74673,-5.525,0.22077174,hsa-miR-29b-3p,
hsa-miR-494-3p,0.805,0.483086,-0.746667,-5.525,-0.20091502,hsa-miR-494-3p,
hsa-miR-4524b-3p,0.805,0.483332,0.746228,-5.525,0.02686173,hsa-miR-4524b-3p,
hsa-miR-147b,0.805,0.484111,-0.744842,-5.526,-0.01764489,hsa-miR-147b,
hsa-miR-6084,0.805,0.484236,-0.744619,-5.526,-0.02909063,hsa-miR-6084,
hsa-miR-6720-5p,0.805,0.484292,0.744519,-5.527,0.03103738,hsa-miR-6720-5p,
hsa-miR-3646,0.806,0.485332,0.742673,-5.528,0.04053107,hsa-miR-3646,
hsa-miR-194-3p,0.807,0.485796,0.741849,-5.528,0.01758387,hsa-miR-194-3p,
